en	lin
Looking at this old musical instrument with its wildly twisted shapes, I wondered what mad mind it had come from. "In any case, what a beautiful instrument this is!" I exclaimed.	Nakotala eloko ya ebetelo ya mindule oyo ekomi ya kala na lolenge mya yango enyefuka, nazali komituna ewuti na molimo ninii ya liboma. « Penza, oyo eleko ya ebetele mindule ya kitoko nde yangoyo ! », natikaki.
In order to speed up the expulsion of Palestinians from certain areas of the West Bank, the occupying army has turned 18% of this region into training grounds. The roughly 6,000 Palestinians who live there will sooner or later be expelled.	Na ntina ya komisa bobengani ya ba Palestiniens na ba etuku misusu ya Cisjordanie mbangu, mapinga oyo eyingela mpe enganzama ontei ya mboka na bango bakomisaki 18% ya bisika ya etuku ena camp yako salela ba netrainements. Ndambu ya ba palestiens nkóto motóba oyo batikali kovanda kuna bako bengana bango soki lelo te ata lobi.
Don't wait for events to happen the way you want; decide to want what happens and you will be happy.	Kozela te ete makambo makomela yo ndenge ozo linga ; zwa mokano ya kolinga maye mazali kokomela yo mpe oko zala na esengo.
The vehicle, speeding along, skidded and plowed headfirst into the back of a truck before its driver could say Jack Robinson.	Motuka oyo ezalaki kokumbama na mbangu makasi esietaki mpe ekotisaki liboso nango na sima ya motuka ya monene yambo mokumbi nango akoka koloba Jack Robinson.
White then red, nothing moves. Red then white, everything scatters.	Pembe sima motane, eloko tee ezali koningana. Motane sima pembe, nyonso ezali kokima.
In Esperanto, you can arrange any sentence according to the six possible word orders: SVO, SOV, VOS, VSO, OVS, OSV, with S for subject, V for verb, and O for object.	na Espéranto, tokoki kobongola maloba nyonso kolanda lolenge oyo elandani : SVO, SOV, VOS, VSO, OVS, OSV, na  S lokola sujet, V pona verbe mpe O pona objet.
I suggest you do your job and let me do mine.	Na kosenga nayo osala musala na yo mpe otika ngai nasala ya ngai.
Listen to the text that will be read to you, then answer the questions you will be asked.	Yokamela makomi oyo makontangama pona yo, sima yangola mituna oyo bakotuna yo.
Come on, get up! Otherwise I won't be able to take you to school.	Tokei, telema ! Soki te nakokoa te komema yo na kelassi.
But if the imposing presence of a wise orator appears before their eyes amid the heat of the uproar, they fall silent, they listen, and his winning words govern their minds and win over their hearts.	Kasi na molobeli ya bwanya soki azali kitoko na kotala / kati ya londende ya misu kasi mazali komona, / bakangaka monoko, bayokaka, mpe maloba mya ye ya balongi / ekumbaka milimo mpe mabikisaka mitema.
Just as, struck by an uncertain blow from the priest, a proud bull bellows, having escaped the altar — already the intended victim of the raised blade — and has dodged its head from the deceived axe.	Lokola, ebotu oyo tokanaki te ekowuta epayi ya sango, / ngombe ya mobali ya kitoko abimi, akimi esika ba bomaka ba ngombe, / oyo, esi abongisamaki pona kozala libonza,/ mpe epasola ekosamaki elalaki moto na ye.
Whoever beats his mother-in-law to death loses his head, beheaded. It's an ancient custom one can understand. But whoever slaughters hundreds of thousands gains a monument.	Oyo nyonso abeti mama bokilo na ye pene ya liwa abungisi moto, bako kata yango. Ezali bongo bizaleli ya kala oyo tokoki kososola. Kasi oyo nyonso ayibi ba nkóto nkámá bakosalela ye monument.
In these dreadful moments, was there anyone, man or god, whom I did not implore! No, Ilium in flames, no, that terrible night, held nothing more horrible for this broken heart.	Na bangonga oyo bobangi makasi,/ nani nazalaki kobelela te mpona lisungi ezala batu mpe ba nzambe ! / Te, Ilion ezwi moto, te, butu oyo ezali mobulu,/mpona motema oyo esili kozoka eleko mususu ya mabe koleka ezali te.
Dear Mom, I will need your advice as the birth of my baby approaches.	Mama wa ngai ya bolingo, nakozala na posa ya ba toli nayo pembi ya mbotama ya muana na ngai.
The prisoner swears on the gospel to faithfully carry out the treaty, giving his sons as hostages, but the day before he signed a secret protest stating that he was abandoning Burgundy under duress.	Mokangemi akati ndayi likolo ya makomi masantu ete akolandela makomi lolenge esengeli, na kopesa bana na ye ya mibali lokola bakangemi, kasi mokolo ya liboso ya mokolo wana atiyaki mokoloto na mokanda ya koboya manso alobaki na ndenge ya nkunku na koloba ete asundoli Bourgogne na makasi.
Until then I had never understood why eternity had been made. It's to give some of us a chance to learn German.	Natikalaka kososola te kino lelo mpo na nini bomoyi ya seko esalamaka. Ezali mpo na kotikela basusu kati na biso libaku malamu ya koyekola ki allemand.
"Sorry, Kylia." "Why are you apologizing?" "No, it's just that I keep thinking I must have bothered you a lot." "Huh? No, come on, not at all."	« Bolimbisi, Kylia. » « Mpo na nini osengi bolimbisi ? » « Te, ezali kaka mpo namilobeli ete natungisi yo mpe mingi. » « Eh ? Ezali bongo te, totala, ata soki moke te. »
If a worker who had begun an honestly designed piece of work were to die, any other master craftsman skilled in the subject must be able to continue the work to bring it to completion.	Soki mosali oyo abandaki mosala na lolenge oyo esengeli akufi, esengeli ete molakisi nyonso oyo ayebi mosala yango malamu alandela mosala mpo na kosilisa yango na ndenge esengeli.
The five rules of life: §1 Don't think! §2 When you think, don't speak! §3 When you speak, don't write! §4 When you write, don't sign! §5 When you sign, then don't be surprised!	Mateya mitano ya bomoi : §1 Kokanisa te ! §2 Ntango ozali kokanisa, koloba te ! §3 Ntango ozali koloba, kokoma te ! §4 Ntango ozali kokoma, kotiya mokoloto te ! §5 Ntango otie mokoloto, sikoyo kokamwa te !
Article 214b, in my opinion one of the even stranger provisions of the General Administrative Code of the Land of Schleswig-Holstein, seems to stipulate that anyone who sees a pink elephant must issue it a receipt.	Nkoma 214b, engebene na likanisi na ngai, moko ya mabongisami ya somo ya Code administratif général ya Land de Schleswig-Holstein, na ndenge emonani koloba ete moto oyo amoni nzoku ya motane esengeli apesa ye mokanda.
"Alas! With that hope I liked to imagine my revenge; against our past misfortunes I set this joy, and Rome eased the disasters of Troy: yet every day reproduces our misfortunes. Great king! When will you put an end to our sorrows?"	""" Helas ! na elikya wana nalingaki nazongisa mabe na mabe ; / na ba mpasi na biso ya kala natelemisaki esengo, / mpe Rome ezalaki kolembisa mpasi likolo ya Troie : /mokolo nyonso kasi ezali kobotisa mpasi na biso. / Mokonzi monene ! ngonga nini okosilisa mpasi na biso ? """
They would have gotten a better exchange rate if they had gone to the bank.	Bakokaki kozuwa taux ya kosombitinya malamu soki bakendaki na banki.
My new can opener is more powerful than the old one, so hopefully it won't take me two minutes anymore to get to my beans.	Efungoli manzanza na ngai ya sika ezali makasi koleka oyo ya kala, na yango esengeli kolikya ete ekozwa ngai miniti mibale te mpo nasimba madesu na ngai.
The number of customers who go every year during the Chinese New Year period to the big Tang Frères store, in Paris's thirteenth arrondissement, is frightening.	Motango ya bakiliya bakendeke mbula nyonso na ntango ya mbula ya sika ya ba chinois, na Tang Frères ya monene, na Paris na alondisema ya zomi ya misato, ebangisaka.
Kindness in thought gives depth, kindness in words builds trust, kindness in generous deeds is a source of love.	Bolamu na makanisi  epesaka bozindo, bolamu na maloba etiyaka kati ya kondimama, bolamu na misala malamu ezali liziba ya bolingo.
This very strange camouflage outfit will fool the computer vision of the J-12 robots, although they could still send a volley of small-arms fire into your area.	Sokoto ya bobombi ya somo mpenza oyo ekokosa bomoni-miso ya masini ya ba robots J-12, ata soki bakoki kotinda masasi ebele ya mandoki ya mikie na bisika na yo.
My aunt lives in New York.	Tata mwasi na ngai avandaka na New York.
The evening, so impatiently awaited, finally came. My young wife withdrew to the bridal chamber, where I could not follow her as quickly as I would have liked. A tedious but essential duty called for me first.	Mpokwa, ezelamaki mingi, na nsuka ekokomaki. Mwasi na ngai ya elenge abimaki na elalelo ya libala, bisika nazalaki nakokaki te kolanda ye na lombangu ndenge nalingalaki. Bosenga ya makasi, kasi ya ntina, ezalaki kobengisa ngai na kala.
"I do have some provisions here," said Spiagudry, pulling his knapsack out from under his coat, "but if your appetite matches mine, this black bread and rancid cheese will soon be gone."	Nazali na ndambo ya biloko nabombaki, elobaki Spiagudry na kobenda saki na ye kouta na nse ya kazaka na ye ; kasi, soki mposa na yo ya kolia ezali lolenge moko na oyo ya ngai, lipa ya moyindo oyo mpe fromage ya makasi oyo ekolimwa kala mingi te.
Letting extremist settlers kill natives with complete impunity is part of the strategy of keeping up pressure on the natives so that they leave their ancestral lands.	Kotika ba koloni oyo ya mitema mabe baboma baimboka na bonsomi nyonso ezalaki lolenge ya kosalela oyo ezalaki kokotisa bobangi na baimboka mpo ete batika mabele ya ba nkoko na bango.
These guys are lucky. They all learned Russian from Russian girlfriends, and some of them even ended up marrying them.	Bato oyo bazali na libaku ya malamu. Bayekolaki bango banso russe na ba makango  ya ba russes, mpe basusu kati na bango basukaki na kobala bango.
There are no problems; there are only solutions. Man's mind then invents the problem. It sees problems everywhere.	Makambo ezali te, kaka biyano nde ezali. Molimo ya moto nde ebotisaka makambo na nsima. Amonaka makambo bisika nyonso.
If you think that doing grammar exercises and mindlessly memorizing vocabulary is how you'll learn to speak a language, then you're kidding yourself.	Soki okanisi ete na botangi mimekano ya grammaire mpe boyekoli na bozoba ya maloba nde okoyeba koloba lokota, wana ozali komikosa.
Artificial meat will soon be arriving on our plates. They say it's the future and that its production is more environmentally responsible.	Misuni oyo esalemi na maboko ya moto kala te ekokoma na sani na biso. Balobi ete ezali lobi na biso, mpe kosala yango ezali likanisi malamu mpo na kobatela mokili.
My feet hurt so much that I feel like I've worn them down to the bone from running.	Makolo ezali kosala ngai mpasi makasi nakanisi ete naseleli yango mingi ti na mokuwa likolo ya kokima mbangu.
I was told that young Miss Lovelace loved music; I would be delighted if, during my stay by this lake to which a doctor's prescription has confined me, she would allow me to make music with her...	Bayebisi ngai ete elenge mwasi miss Lovelace alingaki mindule, nakozala na esengo soki, ntango nyonso nakolekisa na etima oyo esika monganga asengi ngai navanda, akolinga ngai nasala mindule na ye...
Youth is mistaken when it believes that one dies of a broken heart. In fact, one usually lives to an old age.	Bilenge bamikosaka ntango bakanisaka ete bakufaka na motema mpasi. Na yango, tobikelaka na ngonga kino mbula ya likolo.
I spent two hours yesterday trying to fix this broken radio.	Nalekisaki ngonga mibale lobi nakomeka kobongisa ladio oyo ebukana.
The digital revolution is opening the way to surprisingly new forms of social relationships.	Bongwana oyo ekoti na nzela ya internet esili kofungola bikuke mpo na  lolenge ya sika ya bizaleli o ntei ya bovandi ya bato.
A study tends to show that single men use, on average, more tissues than those with a girlfriend, so one is tempted to conclude that love protects against colds.	Bolukiluki moko emonisi ete mibali ya likombe basalelaka ba muswale ya nkasa koleka mibali oyo bazali na likangu, na yango tokoki koloba ete bolingo ebatelaka miyoyo.
Full of tender dread for her unfortunate son, this suspect city and this faithless people, Juno above all, Juno, whom a fierce wrath consumes, everything alarms her, and by night her fear still keeps watch.	Mpo na mwana na ye ya mobali ya mawa atonda bobangi,/ mboka oyo ezali na keba keba mpe bato bazanga kondima, / Junon mpenza, Junon, oyo nkanda moko ezali kotumba,/kati na bobangi, mpe na butu bobangi na ye ezalaki kaka.
The whole life of societies in which modern conditions of production prevail presents itself as an immense accumulation of spectacles. Everything that was directly lived has receded into representation.	Bomoi nyonso ya bisika oyo lolenge ya bosali ezali ya sika emonisamaka lokola bisika ya masano ebele. Oyo nyonso emonisamaki mbala moko ekendaki mosika na malakisi.
The result of any serious research can only be to raise two questions where there was only one before.	Eyano ya misala ya bolukiluki oyo ya solo epesaka kaka mituna mibale bisika oyo motuna azalaki kaka moko liboso.
"Do you promise?" "Cross of wood, cross of iron, if I lie, I'll go to hell!"	«Olaki ?» «Ekulusu ya libaya, ekulusu ya libende, soki nakosi, nakokende lifelo !»
You must show respect to your guests.	Esengeli olakisa botosi na bapaya na yo.
Love, we can accept it or refuse it, nourish it or extinguish it, we can spice it up or poison it, tend to it or neglect it.	Bolingo, tokoki kondima to koboya yango, kokolisa to koboma yango, tokoki kotia yango mwa ba epices to kotia yango mbondo, kobikisa yango to mpe kosundola yango.
